
 num     #instances         #bytes  class name
----------------------------------------------
   1:         30388       13128992  [B
   2:         80397       10715528  [C
   3:          6756       10545352  [I
   4:         50676        1216224  java.lang.String
   5:         10318         907984  java.lang.reflect.Method
   6:          6003         663912  java.lang.Class
   7:         28119         587800  [Ljava.lang.Class;
   8:         10592         571136  [Ljava.lang.Object;
   9:         12873         411936  java.util.concurrent.ConcurrentHashMap$Node
  10:          3618         306664  [Ljava.util.HashMap$Node;
  11:          7251         290040  java.util.LinkedHashMap$Entry
  12:          7740         247680  java.util.HashMap$Node
  13:          3421         191576  java.util.LinkedHashMap
  14:           120         188992  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  15:          6716         161184  java.lang.StringBuilder
  16:          2022         145584  java.lang.reflect.Field
  17:          2216         141824  java.net.URL
  18:          2496         139776  jdk.internal.org.objectweb.asm.Item
  19:          7994         127904  java.lang.Object
  20:          1553         122432  [S
  21:          2879         115864  [Ljava.lang.reflect.Method;
  22:          2341         112368  java.util.HashMap
  23:          2791         111640  java.lang.ref.Finalizer
  24:          1373         109840  java.lang.reflect.Constructor
  25:          2135         102480  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  26:          1996          93112  [Ljava.lang.String;
  27:          1805          86640  org.springframework.core.ResolvableType
  28:          3355          80520  java.util.ArrayList
  29:          1947          77880  org.springframework.core.annotation.TypeMappedAnnotations
  30:            81          77520  [Ljdk.internal.org.objectweb.asm.Item;
  31:          2295          73440  java.util.LinkedHashMap$LinkedKeyIterator
  32:          1307          73192  java.lang.invoke.MemberName
  33:          1206          67536  java.util.zip.ZipFile$ZipFileInputStream
  34:          1205          67480  java.util.zip.ZipFile$ZipFileInflaterInputStream
  35:          1583          63320  java.lang.ref.SoftReference
  36:          1499          59960  java.lang.invoke.MethodType
  37:          1030          57680  java.lang.Class$ReflectionData
  38:          1583          50656  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  39:          1242          49680  java.util.TreeMap$Entry
  40:          1536          49152  org.springframework.core.annotation.TypeMappedAnnotations$MergedAnnotationFinder
  41:          1356          43392  java.util.concurrent.locks.ReentrantLock$NonfairSync
  42:           191          42784  jdk.internal.org.objectweb.asm.MethodWriter
  43:          1273          40736  java.util.ArrayList$Itr
  44:          1695          40680  java.lang.Class$MethodArray
  45:           835          40352  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  46:           214          39376  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  47:          1489          35736  java.util.concurrent.CopyOnWriteArrayList$COWIterator
  48:          1460          35040  org.springframework.util.ConcurrentReferenceHashMap$Entry
  49:           944          30208  java.io.File
  50:           298          28608  java.util.jar.JarFile$JarFileEntry
  51:          1686          26976  sun.reflect.ConstantPool
  52:           840          26880  java.lang.ref.ReferenceQueue
  53:           151          26576  org.springframework.beans.factory.support.RootBeanDefinition
  54:           640          25600  org.springframework.util.ConcurrentReferenceHashMap$Segment
  55:          1422          22752  org.springframework.core.annotation.AnnotationTypeMappings$Cache$$Lambda$13/1157740463
  56:           391          21896  org.springframework.core.annotation.TypeMappedAnnotation
  57:           898          21552  java.util.LinkedList$Node
  58:           691          21368  [Ljava.lang.CharSequence;
  59:           880          21120  sun.reflect.generics.tree.SimpleClassTypeSignature
  60:           643          20576  java.lang.invoke.DirectMethodHandle
  61:           854          20496  sun.reflect.annotation.AnnotationInvocationHandler
  62:           249          19920  java.util.zip.ZipEntry
  63:           191          19864  java.io.ObjectStreamClass
  64:           488          19520  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
  65:          1208          19328  java.util.HashSet
  66:           330          18480  java.lang.Package
  67:          1129          18064  org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$12/684874119
  68:           539          17248  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  69:           537          17184  java.lang.ref.WeakReference
  70:           132          17104  [Z
  71:           529          16928  java.util.Hashtable$Entry
  72:           701          16824  java.util.concurrent.CopyOnWriteArrayList
  73:           674          16416  [Ljava.lang.annotation.Annotation;
  74:           399          15960  java.util.WeakHashMap$Entry
  75:           249          15936  java.util.concurrent.ConcurrentHashMap
  76:           902          15856  [Lsun.reflect.generics.tree.TypeArgument;
  77:           391          15448  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  78:           640          15360  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  79:           477          15264  org.springframework.boot.context.properties.source.ConfigurationPropertyName
  80:           413          15152  [Ljava.lang.reflect.Field;
  81:           181          15152  [Ljava.util.WeakHashMap$Entry;
  82:           670          14824  [Lorg.springframework.core.ResolvableType;
  83:           626          14592  [Ljava.lang.reflect.Constructor;
  84:           608          14592  java.util.jar.Attributes$Name
  85:           291          13968  ch.qos.logback.classic.Logger
  86:           870          13920  sun.reflect.generics.tree.ClassTypeSignature
  87:           431          13792  java.util.RegularEnumSet
  88:           574          13776  java.lang.Long
  89:           567          13608  sun.misc.ProxyGenerator$ConstantPool$IndirectEntry
  90:           842          13472  java.lang.ref.ReferenceQueue$Lock
  91:           551          13224  java.net.URLClassLoader$1
  92:           553          12920  [Ljava.lang.reflect.Type;
  93:           268          12864  java.util.concurrent.ConcurrentHashMap$Traverser
